PATTERN: 0xff00
PING 202.141.80.14 (202.141.80.14) 56(84) bytes of data.
64 bytes from 202.141.80.14: icmp_seq=81 ttl=63 time=0.242 ms
64 bytes from 202.141.80.14: icmp_seq=82 ttl=63 time=0.269 ms
64 bytes from 202.141.80.14: icmp_seq=83 ttl=63 time=0.230 ms
64 bytes from 202.141.80.14: icmp_seq=84 ttl=63 time=0.246 ms
64 bytes from 202.141.80.14: icmp_seq=85 ttl=63 time=0.227 ms
64 bytes from 202.141.80.14: icmp_seq=86 ttl=63 time=0.242 ms
64 bytes from 202.141.80.14: icmp_seq=87 ttl=63 time=0.224 ms
64 bytes from 202.141.80.14: icmp_seq=88 ttl=63 time=0.288 ms
64 bytes from 202.141.80.14: icmp_seq=89 ttl=63 time=0.238 ms
64 bytes from 202.141.80.14: icmp_seq=90 ttl=63 time=0.239 ms
64 bytes from 202.141.80.14: icmp_seq=91 ttl=63 time=0.248 ms
64 bytes from 202.141.80.14: icmp_seq=92 ttl=63 time=0.226 ms
64 bytes from 202.141.80.14: icmp_seq=93 ttl=63 time=0.218 ms
64 bytes from 202.141.80.14: icmp_seq=94 ttl=63 time=0.230 ms
64 bytes from 202.141.80.14: icmp_seq=95 ttl=63 time=0.203 ms
64 bytes from 202.141.80.14: icmp_seq=96 ttl=63 time=0.246 ms
64 bytes from 202.141.80.14: icmp_seq=97 ttl=63 time=0.245 ms
64 bytes from 202.141.80.14: icmp_seq=98 ttl=63 time=0.234 ms
64 bytes from 202.141.80.14: icmp_seq=99 ttl=63 time=0.236 ms
64 bytes from 202.141.80.14: icmp_seq=100 ttl=63 time=0.211 ms
64 bytes from 202.141.80.14: icmp_seq=101 ttl=63 time=0.250 ms
64 bytes from 202.141.80.14: icmp_seq=102 ttl=63 time=0.220 ms
64 bytes from 202.141.80.14: icmp_seq=103 ttl=63 time=0.297 ms
64 bytes from 202.141.80.14: icmp_seq=104 ttl=63 time=0.210 ms
64 bytes from 202.141.80.14: icmp_seq=105 ttl=63 time=0.228 ms
64 bytes from 202.141.80.14: icmp_seq=106 ttl=63 time=0.246 ms
64 bytes from 202.141.80.14: icmp_seq=107 ttl=63 time=0.247 ms
64 bytes from 202.141.80.14: icmp_seq=108 ttl=63 time=0.239 ms
64 bytes from 202.141.80.14: icmp_seq=109 ttl=63 time=0.237 ms
64 bytes from 202.141.80.14: icmp_seq=110 ttl=63 time=0.248 ms
64 bytes from 202.141.80.14: icmp_seq=111 ttl=63 time=0.264 ms
64 bytes from 202.141.80.14: icmp_seq=112 ttl=63 time=0.226 ms
64 bytes from 202.141.80.14: icmp_seq=113 ttl=63 time=0.244 ms
64 bytes from 202.141.80.14: icmp_seq=114 ttl=63 time=0.238 ms
64 bytes from 202.141.80.14: icmp_seq=115 ttl=63 time=0.202 ms
64 bytes from 202.141.80.14: icmp_seq=116 ttl=63 time=0.250 ms
64 bytes from 202.141.80.14: icmp_seq=117 ttl=63 time=0.230 ms
64 bytes from 202.141.80.14: icmp_seq=118 ttl=63 time=0.244 ms
64 bytes from 202.141.80.14: icmp_seq=119 ttl=63 time=0.247 ms
64 bytes from 202.141.80.14: icmp_seq=120 ttl=63 time=0.203 ms
64 bytes from 202.141.80.14: icmp_seq=121 ttl=63 time=0.238 ms
64 bytes from 202.141.80.14: icmp_seq=122 ttl=63 time=0.209 ms
64 bytes from 202.141.80.14: icmp_seq=123 ttl=63 time=0.223 ms
64 bytes from 202.141.80.14: icmp_seq=124 ttl=63 time=0.232 ms
64 bytes from 202.141.80.14: icmp_seq=125 ttl=63 time=0.198 ms
64 bytes from 202.141.80.14: icmp_seq=126 ttl=63 time=0.209 ms
64 bytes from 202.141.80.14: icmp_seq=127 ttl=63 time=0.213 ms
64 bytes from 202.141.80.14: icmp_seq=128 ttl=63 time=0.197 ms
64 bytes from 202.141.80.14: icmp_seq=129 ttl=63 time=0.197 ms
64 bytes from 202.141.80.14: icmp_seq=130 ttl=63 time=0.202 ms
64 bytes from 202.141.80.14: icmp_seq=131 ttl=63 time=0.212 ms
64 bytes from 202.141.80.14: icmp_seq=132 ttl=63 time=0.201 ms
64 bytes from 202.141.80.14: icmp_seq=133 ttl=63 time=0.202 ms
64 bytes from 202.141.80.14: icmp_seq=134 ttl=63 time=0.233 ms
64 bytes from 202.141.80.14: icmp_seq=135 ttl=63 time=0.206 ms
64 bytes from 202.141.80.14: icmp_seq=136 ttl=63 time=0.201 ms
64 bytes from 202.141.80.14: icmp_seq=137 ttl=63 time=0.256 ms
64 bytes from 202.141.80.14: icmp_seq=138 ttl=63 time=0.247 ms
64 bytes from 202.141.80.14: icmp_seq=139 ttl=63 time=0.277 ms
64 bytes from 202.141.80.14: icmp_seq=140 ttl=63 time=0.201 ms
64 bytes from 202.141.80.14: icmp_seq=141 ttl=63 time=0.246 ms
64 bytes from 202.141.80.14: icmp_seq=142 ttl=63 time=0.220 ms
64 bytes from 202.141.80.14: icmp_seq=143 ttl=63 time=0.195 ms
64 bytes from 202.141.80.14: icmp_seq=144 ttl=63 time=0.245 ms
64 bytes from 202.141.80.14: icmp_seq=145 ttl=63 time=0.250 ms
64 bytes from 202.141.80.14: icmp_seq=146 ttl=63 time=0.248 ms
64 bytes from 202.141.80.14: icmp_seq=147 ttl=63 time=0.217 ms
64 bytes from 202.141.80.14: icmp_seq=148 ttl=63 time=0.215 ms
64 bytes from 202.141.80.14: icmp_seq=149 ttl=63 time=0.220 ms
64 bytes from 202.141.80.14: icmp_seq=150 ttl=63 time=0.241 ms
64 bytes from 202.141.80.14: icmp_seq=151 ttl=63 time=0.245 ms
64 bytes from 202.141.80.14: icmp_seq=152 ttl=63 time=0.242 ms
64 bytes from 202.141.80.14: icmp_seq=153 ttl=63 time=0.244 ms
64 bytes from 202.141.80.14: icmp_seq=154 ttl=63 time=0.240 ms
64 bytes from 202.141.80.14: icmp_seq=155 ttl=63 time=0.199 ms
64 bytes from 202.141.80.14: icmp_seq=156 ttl=63 time=0.233 ms
64 bytes from 202.141.80.14: icmp_seq=157 ttl=63 time=0.267 ms
64 bytes from 202.141.80.14: icmp_seq=158 ttl=63 time=0.220 ms
64 bytes from 202.141.80.14: icmp_seq=159 ttl=63 time=0.220 ms
64 bytes from 202.141.80.14: icmp_seq=160 ttl=63 time=0.230 ms
64 bytes from 202.141.80.14: icmp_seq=161 ttl=63 time=0.241 ms
64 bytes from 202.141.80.14: icmp_seq=162 ttl=63 time=0.216 ms
64 bytes from 202.141.80.14: icmp_seq=163 ttl=63 time=0.259 ms
64 bytes from 202.141.80.14: icmp_seq=164 ttl=63 time=0.704 ms
64 bytes from 202.141.80.14: icmp_seq=165 ttl=63 time=0.284 ms
64 bytes from 202.141.80.14: icmp_seq=166 ttl=63 time=0.237 ms
64 bytes from 202.141.80.14: icmp_seq=167 ttl=63 time=0.246 ms
64 bytes from 202.141.80.14: icmp_seq=168 ttl=63 time=0.257 ms
64 bytes from 202.141.80.14: icmp_seq=169 ttl=63 time=0.342 ms
64 bytes from 202.141.80.14: icmp_seq=170 ttl=63 time=0.232 ms
64 bytes from 202.141.80.14: icmp_seq=171 ttl=63 time=0.218 ms
64 bytes from 202.141.80.14: icmp_seq=172 ttl=63 time=0.264 ms
64 bytes from 202.141.80.14: icmp_seq=173 ttl=63 time=0.216 ms
64 bytes from 202.141.80.14: icmp_seq=174 ttl=63 time=0.246 ms
64 bytes from 202.141.80.14: icmp_seq=175 ttl=63 time=0.240 ms
64 bytes from 202.141.80.14: icmp_seq=176 ttl=63 time=0.268 ms
64 bytes from 202.141.80.14: icmp_seq=177 ttl=63 time=0.217 ms
64 bytes from 202.141.80.14: icmp_seq=178 ttl=63 time=0.248 ms
64 bytes from 202.141.80.14: icmp_seq=179 ttl=63 time=0.211 ms
64 bytes from 202.141.80.14: icmp_seq=180 ttl=63 time=0.254 ms
64 bytes from 202.141.80.14: icmp_seq=181 ttl=63 time=0.280 ms
64 bytes from 202.141.80.14: icmp_seq=182 ttl=63 time=0.202 ms
64 bytes from 202.141.80.14: icmp_seq=183 ttl=63 time=0.251 ms
64 bytes from 202.141.80.14: icmp_seq=184 ttl=63 time=0.231 ms
64 bytes from 202.141.80.14: icmp_seq=185 ttl=63 time=0.243 ms
64 bytes from 202.141.80.14: icmp_seq=186 ttl=63 time=0.238 ms
64 bytes from 202.141.80.14: icmp_seq=187 ttl=63 time=0.246 ms
64 bytes from 202.141.80.14: icmp_seq=188 ttl=63 time=0.203 ms
64 bytes from 202.141.80.14: icmp_seq=189 ttl=63 time=0.247 ms
64 bytes from 202.141.80.14: icmp_seq=190 ttl=63 time=0.243 ms
64 bytes from 202.141.80.14: icmp_seq=191 ttl=63 time=0.202 ms
64 bytes from 202.141.80.14: icmp_seq=192 ttl=63 time=0.240 ms
64 bytes from 202.141.80.14: icmp_seq=193 ttl=63 time=0.241 ms
64 bytes from 202.141.80.14: icmp_seq=194 ttl=63 time=0.243 ms
64 bytes from 202.141.80.14: icmp_seq=195 ttl=63 time=0.229 ms
64 bytes from 202.141.80.14: icmp_seq=196 ttl=63 time=0.245 ms
